Enhetsnavn;Skoletype;Vurderingsområde;Statistikk;Indikator/delskår;Periode;Eierform;Trinn;Kjønn;Verdi;Måleenhet
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2016-2017;Offentlig;Trinn 9;Jenter;.;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2017-2018;Offentlig;Trinn 5;Begge kjønn;49;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2017-2018;Offentlig;Trinn 5;Jenter;47;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2017-2018;Offentlig;Trinn 5;Gutter;51;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2017-2018;Offentlig;Trinn 9;Begge kjønn;.;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2017-2018;Offentlig;Trinn 9;Jenter;.;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2017-2018;Offentlig;Trinn 9;Gutter;.;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2018-2019;Offentlig;Trinn 5;Begge kjønn;49;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2018-2019;Offentlig;Trinn 5;Jenter;45;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2018-2019;Offentlig;Trinn 5;Gutter;54;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2019-2020;Offentlig;Trinn 5;Begge kjønn;52;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2019-2020;Offentlig;Trinn 5;Jenter;50;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2019-2020;Offentlig;Trinn 5;Gutter;54;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2019-2020;Offentlig;Trinn 8;Begge kjønn;.;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2019-2020;Offentlig;Trinn 8;Jenter;.;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2019-2020;Offentlig;Trinn 8;Gutter;.;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2020-2021;Offentlig;Trinn 5;Begge kjønn;50;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2020-2021;Offentlig;Trinn 5;Jenter;49;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver 5. trinn;Regning;2020-2021;Offentlig;Trinn 5;Gutter;51;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2020-2021;Offentlig;Trinn 9;Begge kjønn;.;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2020-2021;Offentlig;Trinn 9;Jenter;.;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Regning;2020-2021;Offentlig;Trinn 9;Gutter;.;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Engelsk avgiverskole (Kun skolenivå);2014-2015;Offentlig;Trinn 8;Begge kjønn;56;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Engelsk avgiverskole (Kun skolenivå);2014-2015;Offentlig;Trinn 8;Jenter;54;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Engelsk avgiverskole (Kun skolenivå);2014-2015;Offentlig;Trinn 8;Gutter;57;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Lesing avgiverskole (Kun skolenivå);2014-2015;Offentlig;Trinn 8;Begge kjønn;52;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Lesing avgiverskole (Kun skolenivå);2014-2015;Offentlig;Trinn 8;Jenter;50;Skalapoeng
Auglend skole;Grunnskole;Læringsresultater;Nasjonale prøver ungdomstrinn;Lesing avgiverskole (Kun skolenivå);2014-2015;Offentlig;Trinn 8;Gutter;54;Skalapoeng
