enhetsnavn,statistikk,indikator_delskar,periode,trinn,kjonn,verdi
Gautesete skole,Nasjonale prøver 5. trinn,Lesing,2016-2017,Trinn 5,Jenter,52
Gautesete skole,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Jenter,48
Gautesete skole,Nasjonale prøver 5. trinn,Regning,2014-2015,Trinn 5,Jenter,49
Gautesete skole,Nasjonale prøver 5. trinn,Regning,2015-2016,Trinn 5,Jenter,49
Gautesete skole,Nasjonale prøver 5. trinn,Regning,2016-2017,Trinn 5,Jenter,48
Gautesete skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Jenter,45
Godeset skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Jenter,57
Godeset skole,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Jenter,56
Godeset skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Jenter,58
Godeset skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Jenter,49
Godeset skole,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Jenter,54
Godeset skole,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Jenter,54
Godeset skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Jenter,53
Godeset skole,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Jenter,54
Godeset skole,Nasjonale prøver 5. trinn,Lesing,2015-2016,Trinn 5,Jenter,51
Godeset skole,Nasjonale prøver 5. trinn,Lesing,2016-2017,Trinn 5,Jenter,56
Godeset skole,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Jenter,50
Godeset skole,Nasjonale prøver 5. trinn,Lesing,2018-2019,Trinn 5,Jenter,50
Godeset skole,Nasjonale prøver 5. trinn,Lesing,2019-2020,Trinn 5,Jenter,50
Godeset skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Jenter,50
Godeset skole,Nasjonale prøver 5. trinn,Regning,2014-2015,Trinn 5,Jenter,52
Godeset skole,Nasjonale prøver 5. trinn,Regning,2015-2016,Trinn 5,Jenter,52
Godeset skole,Nasjonale prøver 5. trinn,Regning,2016-2017,Trinn 5,Jenter,53
Godeset skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Jenter,52
Godeset skole,Nasjonale prøver 5. trinn,Regning,2018-2019,Trinn 5,Jenter,46
Godeset skole,Nasjonale prøver 5. trinn,Regning,2019-2020,Trinn 5,Jenter,52
Godeset skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Jenter,48
Hafrsfjord skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Jenter,47
Hafrsfjord skole,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Jenter,50
Hafrsfjord skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Jenter,54
Hafrsfjord skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Jenter,51
Hafrsfjord skole,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Jenter,50
Hafrsfjord skole,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Jenter,51
Hafrsfjord skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Jenter,52
Hafrsfjord skole,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Jenter,48
Hafrsfjord skole,Nasjonale prøver 5. trinn,Lesing,2015-2016,Trinn 5,Jenter,51
Hafrsfjord skole,Nasjonale prøver 5. trinn,Lesing,2016-2017,Trinn 5,Jenter,54
Hafrsfjord skole,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Jenter,49
Hafrsfjord skole,Nasjonale prøver 5. trinn,Lesing,2018-2019,Trinn 5,Jenter,54
Hafrsfjord skole,Nasjonale prøver 5. trinn,Lesing,2019-2020,Trinn 5,Jenter,51
Hafrsfjord skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Jenter,53
Hafrsfjord skole,Nasjonale prøver 5. trinn,Regning,2014-2015,Trinn 5,Jenter,49
Hafrsfjord skole,Nasjonale prøver 5. trinn,Regning,2015-2016,Trinn 5,Jenter,52
Hafrsfjord skole,Nasjonale prøver 5. trinn,Regning,2016-2017,Trinn 5,Jenter,51
Hafrsfjord skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Jenter,51
Hafrsfjord skole,Nasjonale prøver 5. trinn,Regning,2018-2019,Trinn 5,Jenter,50
Hafrsfjord skole,Nasjonale prøver 5. trinn,Regning,2019-2020,Trinn 5,Jenter,49
Hafrsfjord skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Jenter,50
Hundvåg skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Jenter,50
Hundvåg skole,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Jenter,46
Hundvåg skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Jenter,48
Hundvåg skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Jenter,48
Hundvåg skole,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Jenter,50
Hundvåg skole,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Jenter,52
Hundvåg skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Jenter,53
Hundvåg skole,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Jenter,53
Hundvåg skole,Nasjonale prøver 5. trinn,Lesing,2015-2016,Trinn 5,Jenter,46
Hundvåg skole,Nasjonale prøver 5. trinn,Lesing,2016-2017,Trinn 5,Jenter,49
Hundvåg skole,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Jenter,48
Hundvåg skole,Nasjonale prøver 5. trinn,Lesing,2018-2019,Trinn 5,Jenter,52
Hundvåg skole,Nasjonale prøver 5. trinn,Lesing,2019-2020,Trinn 5,Jenter,49
Hundvåg skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Jenter,51
Hundvåg skole,Nasjonale prøver 5. trinn,Regning,2014-2015,Trinn 5,Jenter,52
Hundvåg skole,Nasjonale prøver 5. trinn,Regning,2015-2016,Trinn 5,Jenter,48
Hundvåg skole,Nasjonale prøver 5. trinn,Regning,2016-2017,Trinn 5,Jenter,48
Hundvåg skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Jenter,45
Hundvåg skole,Nasjonale prøver 5. trinn,Regning,2018-2019,Trinn 5,Jenter,46
Hundvåg skole,Nasjonale prøver 5. trinn,Regning,2019-2020,Trinn 5,Jenter,49
Hundvåg skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Jenter,49
Jåtten skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Jenter,50
Jåtten skole,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Jenter,52
Jåtten skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Jenter,51
Jåtten skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Jenter,53
Jåtten skole,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Jenter,49
Jåtten skole,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Jenter,48
Jåtten skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Jenter,49
Jåtten skole,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Jenter,51
Jåtten skole,Nasjonale prøver 5. trinn,Lesing,2015-2016,Trinn 5,Jenter,53
Jåtten skole,Nasjonale prøver 5. trinn,Lesing,2016-2017,Trinn 5,Jenter,49
Jåtten skole,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Jenter,52
Jåtten skole,Nasjonale prøver 5. trinn,Lesing,2018-2019,Trinn 5,Jenter,50
Jåtten skole,Nasjonale prøver 5. trinn,Lesing,2019-2020,Trinn 5,Jenter,49
Jåtten skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Jenter,50
Jåtten skole,Nasjonale prøver 5. trinn,Regning,2014-2015,Trinn 5,Jenter,48
Jåtten skole,Nasjonale prøver 5. trinn,Regning,2015-2016,Trinn 5,Jenter,51
Jåtten skole,Nasjonale prøver 5. trinn,Regning,2016-2017,Trinn 5,Jenter,50
