enhetsnavn,statistikk,indikator_delskar,periode,trinn,kjonn,verdi
Godeset skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Gutter,49
Godeset skole,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Gutter,53
Godeset skole,Nasjonale prøver 5. trinn,Lesing,2015-2016,Trinn 5,Gutter,53
Godeset skole,Nasjonale prøver 5. trinn,Lesing,2016-2017,Trinn 5,Gutter,49
Godeset skole,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Gutter,52
Godeset skole,Nasjonale prøver 5. trinn,Lesing,2018-2019,Trinn 5,Gutter,50
Godeset skole,Nasjonale prøver 5. trinn,Lesing,2019-2020,Trinn 5,Gutter,52
Godeset skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Gutter,47
Godeset skole,Nasjonale prøver 5. trinn,Regning,2014-2015,Trinn 5,Gutter,57
Godeset skole,Nasjonale prøver 5. trinn,Regning,2015-2016,Trinn 5,Gutter,51
Godeset skole,Nasjonale prøver 5. trinn,Regning,2016-2017,Trinn 5,Gutter,51
Godeset skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Gutter,55
Godeset skole,Nasjonale prøver 5. trinn,Regning,2018-2019,Trinn 5,Gutter,52
Godeset skole,Nasjonale prøver 5. trinn,Regning,2019-2020,Trinn 5,Gutter,56
Godeset skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Gutter,50
Hafrsfjord skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Gutter,52
Hafrsfjord skole,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Gutter,49
Hafrsfjord skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Gutter,54
Hafrsfjord skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Gutter,48
Hafrsfjord skole,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Gutter,50
Hafrsfjord skole,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Gutter,56
Hafrsfjord skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Gutter,51
Hafrsfjord skole,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Gutter,48
Hafrsfjord skole,Nasjonale prøver 5. trinn,Lesing,2015-2016,Trinn 5,Gutter,52
Hafrsfjord skole,Nasjonale prøver 5. trinn,Lesing,2016-2017,Trinn 5,Gutter,54
Hafrsfjord skole,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Gutter,44
Hafrsfjord skole,Nasjonale prøver 5. trinn,Lesing,2018-2019,Trinn 5,Gutter,46
Hafrsfjord skole,Nasjonale prøver 5. trinn,Lesing,2019-2020,Trinn 5,Gutter,57
Hafrsfjord skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Gutter,46
Hafrsfjord skole,Nasjonale prøver 5. trinn,Regning,2014-2015,Trinn 5,Gutter,54
Hafrsfjord skole,Nasjonale prøver 5. trinn,Regning,2015-2016,Trinn 5,Gutter,55
Hafrsfjord skole,Nasjonale prøver 5. trinn,Regning,2016-2017,Trinn 5,Gutter,53
Hafrsfjord skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Gutter,50
Hafrsfjord skole,Nasjonale prøver 5. trinn,Regning,2018-2019,Trinn 5,Gutter,51
Hafrsfjord skole,Nasjonale prøver 5. trinn,Regning,2019-2020,Trinn 5,Gutter,58
Hafrsfjord skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Gutter,51
Hundvåg skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Gutter,47
Hundvåg skole,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Gutter,51
Hundvåg skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Gutter,48
Hundvåg skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Gutter,54
Hundvåg skole,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Gutter,55
Hundvåg skole,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Gutter,51
Hundvåg skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Gutter,56
Hundvåg skole,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Gutter,47
Hundvåg skole,Nasjonale prøver 5. trinn,Lesing,2015-2016,Trinn 5,Gutter,50
Hundvåg skole,Nasjonale prøver 5. trinn,Lesing,2016-2017,Trinn 5,Gutter,48
Hundvåg skole,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Gutter,53
Hundvåg skole,Nasjonale prøver 5. trinn,Lesing,2018-2019,Trinn 5,Gutter,51
Hundvåg skole,Nasjonale prøver 5. trinn,Lesing,2019-2020,Trinn 5,Gutter,46
Hundvåg skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Gutter,49
Hundvåg skole,Nasjonale prøver 5. trinn,Regning,2014-2015,Trinn 5,Gutter,52
Hundvåg skole,Nasjonale prøver 5. trinn,Regning,2015-2016,Trinn 5,Gutter,50
Hundvåg skole,Nasjonale prøver 5. trinn,Regning,2016-2017,Trinn 5,Gutter,48
Hundvåg skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Gutter,51
Hundvåg skole,Nasjonale prøver 5. trinn,Regning,2018-2019,Trinn 5,Gutter,53
Hundvåg skole,Nasjonale prøver 5. trinn,Regning,2019-2020,Trinn 5,Gutter,50
Hundvåg skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Gutter,50
Jåtten skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Gutter,53
Jåtten skole,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Gutter,53
Jåtten skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Gutter,53
Jåtten skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Gutter,52
Jåtten skole,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Gutter,52
Jåtten skole,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Gutter,52
Jåtten skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Gutter,48
Jåtten skole,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Gutter,53
Jåtten skole,Nasjonale prøver 5. trinn,Lesing,2015-2016,Trinn 5,Gutter,54
Jåtten skole,Nasjonale prøver 5. trinn,Lesing,2016-2017,Trinn 5,Gutter,51
Jåtten skole,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Gutter,50
Jåtten skole,Nasjonale prøver 5. trinn,Lesing,2018-2019,Trinn 5,Gutter,51
Jåtten skole,Nasjonale prøver 5. trinn,Lesing,2019-2020,Trinn 5,Gutter,49
Jåtten skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Gutter,47
Jåtten skole,Nasjonale prøver 5. trinn,Regning,2014-2015,Trinn 5,Gutter,51
Jåtten skole,Nasjonale prøver 5. trinn,Regning,2015-2016,Trinn 5,Gutter,52
Jåtten skole,Nasjonale prøver 5. trinn,Regning,2016-2017,Trinn 5,Gutter,52
Jåtten skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Gutter,54
Jåtten skole,Nasjonale prøver 5. trinn,Regning,2018-2019,Trinn 5,Gutter,52
Jåtten skole,Nasjonale prøver 5. trinn,Regning,2019-2020,Trinn 5,Gutter,51
Jåtten skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Gutter,48
Kampen skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Gutter,60
Kampen skole,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Gutter,55
Kampen skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Gutter,56
Kampen skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Gutter,53
Kampen skole,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Gutter,52
Kampen skole,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Gutter,55
Kampen skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Gutter,48
Kampen skole,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Gutter,54
Kampen skole,Nasjonale prøver 5. trinn,Lesing,2015-2016,Trinn 5,Gutter,52
Kampen skole,Nasjonale prøver 5. trinn,Lesing,2016-2017,Trinn 5,Gutter,51
Kampen skole,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Gutter,49
Kampen skole,Nasjonale prøver 5. trinn,Lesing,2018-2019,Trinn 5,Gutter,51
Kampen skole,Nasjonale prøver 5. trinn,Lesing,2019-2020,Trinn 5,Gutter,52
Kampen skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Gutter,54
Kampen skole,Nasjonale prøver 5. trinn,Regning,2014-2015,Trinn 5,Gutter,56
Kampen skole,Nasjonale prøver 5. trinn,Regning,2015-2016,Trinn 5,Gutter,51
Kampen skole,Nasjonale prøver 5. trinn,Regning,2016-2017,Trinn 5,Gutter,55
Kampen skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Gutter,47
Kampen skole,Nasjonale prøver 5. trinn,Regning,2018-2019,Trinn 5,Gutter,50
Kampen skole,Nasjonale prøver 5. trinn,Regning,2019-2020,Trinn 5,Gutter,53
Kampen skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Gutter,52
Kvaleberg skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Gutter,50
Kvaleberg skole,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Gutter,59
Kvaleberg skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Gutter,56
Kvaleberg skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Gutter,58
Kvaleberg skole,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Gutter,59
