enhetsnavn,statistikk,indikator_delskar,periode,trinn,kjonn,verdi
Byfjord skole,Nasjonale prøver 5. trinn 2009-2013,Regning,2011-2012,Trinn 5,Jenter,
Byfjord skole,Nasjonale prøver 5. trinn 2009-2013,Regning,2012-2013,Trinn 5,Jenter,
Byfjord skole,Nasjonale prøver 5. trinn 2009-2013,Regning,2013-2014,Trinn 5,Jenter,
Eiganes skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Jenter,52
Eiganes skole,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Jenter,56
Eiganes skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Jenter,53
Eiganes skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Jenter,51
Eiganes skole,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Jenter,54
Eiganes skole,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Jenter,53
Eiganes skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Jenter,50
Eiganes skole,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Jenter,51
Eiganes skole,Nasjonale prøver 5. trinn,Lesing,2015-2016,Trinn 5,Jenter,57
Eiganes skole,Nasjonale prøver 5. trinn,Lesing,2016-2017,Trinn 5,Jenter,52
Eiganes skole,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Jenter,55
Eiganes skole,Nasjonale prøver 5. trinn,Lesing,2018-2019,Trinn 5,Jenter,57
Eiganes skole,Nasjonale prøver 5. trinn,Lesing,2019-2020,Trinn 5,Jenter,51
Eiganes skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Jenter,50
Eiganes skole,Nasjonale prøver 5. trinn,Regning,2014-2015,Trinn 5,Jenter,56
Eiganes skole,Nasjonale prøver 5. trinn,Regning,2015-2016,Trinn 5,Jenter,55
Eiganes skole,Nasjonale prøver 5. trinn,Regning,2016-2017,Trinn 5,Jenter,52
Eiganes skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Jenter,54
Eiganes skole,Nasjonale prøver 5. trinn,Regning,2018-2019,Trinn 5,Jenter,56
Eiganes skole,Nasjonale prøver 5. trinn,Regning,2019-2020,Trinn 5,Jenter,51
Eiganes skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Jenter,49
Eiganes skole,Nasjonale prøver ungdomstrinn,Engelsk avgiverskole (Kun skolenivå),2014-2015,Trinn 8,Jenter,56
Eiganes skole,Nasjonale prøver ungdomstrinn,Lesing avgiverskole (Kun skolenivå),2014-2015,Trinn 8,Jenter,59
Eiganes skole,Nasjonale prøver ungdomstrinn,Regning avgiverskole (Kun skolenivå),2014-2015,Trinn 8,Jenter,56
