enhetsnavn,statistikk,indikator_delskar,periode,trinn,kjonn,verdi
Smiodden skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 9,Begge kjønn,52
Smiodden skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 9,Begge kjønn,52
Smiodden skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 9,Begge kjønn,51
Smiodden skole,Nasjonale prøver ungdomstrinn,Regning,2017-2018,Trinn 9,Begge kjønn,49
Smiodden skole,Nasjonale prøver ungdomstrinn,Regning,2018-2019,Trinn 9,Begge kjønn,54
Smiodden skole,Nasjonale prøver ungdomstrinn,Regning,2019-2020,Trinn 9,Begge kjønn,51
Smiodden skole,Nasjonale prøver ungdomstrinn,Regning,2020-2021,Trinn 9,Begge kjønn,50
St. Svithun skole,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 9,Begge kjønn,54
St. Svithun skole,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 9,Begge kjønn,53
St. Svithun skole,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 9,Begge kjønn,53
St. Svithun skole,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 9,Begge kjønn,52
St. Svithun skole,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 9,Begge kjønn,52
St. Svithun skole,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 9,Begge kjønn,54
St. Svithun skole,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 9,Begge kjønn,52
St. Svithun skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 9,Begge kjønn,55
St. Svithun skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 9,Begge kjønn,55
St. Svithun skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 9,Begge kjønn,54
St. Svithun skole,Nasjonale prøver ungdomstrinn,Regning,2017-2018,Trinn 9,Begge kjønn,53
St. Svithun skole,Nasjonale prøver ungdomstrinn,Regning,2018-2019,Trinn 9,Begge kjønn,52
St. Svithun skole,Nasjonale prøver ungdomstrinn,Regning,2019-2020,Trinn 9,Begge kjønn,53
St. Svithun skole,Nasjonale prøver ungdomstrinn,Regning,2020-2021,Trinn 9,Begge kjønn,52
Tastarustå skole,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 9,Begge kjønn,53
Tastarustå skole,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 9,Begge kjønn,53
Tastarustå skole,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 9,Begge kjønn,55
Tastarustå skole,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 9,Begge kjønn,53
Tastarustå skole,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 9,Begge kjønn,53
Tastarustå skole,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 9,Begge kjønn,54
Tastarustå skole,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 9,Begge kjønn,53
Tastarustå skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 9,Begge kjønn,52
Tastarustå skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 9,Begge kjønn,54
Tastarustå skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 9,Begge kjønn,54
Tastarustå skole,Nasjonale prøver ungdomstrinn,Regning,2017-2018,Trinn 9,Begge kjønn,52
Tastarustå skole,Nasjonale prøver ungdomstrinn,Regning,2018-2019,Trinn 9,Begge kjønn,54
Tastarustå skole,Nasjonale prøver ungdomstrinn,Regning,2019-2020,Trinn 9,Begge kjønn,54
Tastarustå skole,Nasjonale prøver ungdomstrinn,Regning,2020-2021,Trinn 9,Begge kjønn,55
Tastaveden skole,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 9,Begge kjønn,53
Tastaveden skole,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 9,Begge kjønn,53
Tastaveden skole,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 9,Begge kjønn,54
Tastaveden skole,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 9,Begge kjønn,56
Tastaveden skole,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 9,Begge kjønn,55
Tastaveden skole,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 9,Begge kjønn,55
Tastaveden skole,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 9,Begge kjønn,54
Tastaveden skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 9,Begge kjønn,53
Tastaveden skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 9,Begge kjønn,54
Tastaveden skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 9,Begge kjønn,56
Tastaveden skole,Nasjonale prøver ungdomstrinn,Regning,2017-2018,Trinn 9,Begge kjønn,57
Tastaveden skole,Nasjonale prøver ungdomstrinn,Regning,2018-2019,Trinn 9,Begge kjønn,55
Tastaveden skole,Nasjonale prøver ungdomstrinn,Regning,2019-2020,Trinn 9,Begge kjønn,55
Tastaveden skole,Nasjonale prøver ungdomstrinn,Regning,2020-2021,Trinn 9,Begge kjønn,56
Ullandhaug skole,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 9,Begge kjønn,53
Ullandhaug skole,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 9,Begge kjønn,57
Ullandhaug skole,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 9,Begge kjønn,53
Ullandhaug skole,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 9,Begge kjønn,54
Ullandhaug skole,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 9,Begge kjønn,52
Ullandhaug skole,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 9,Begge kjønn,51
Ullandhaug skole,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 9,Begge kjønn,54
Ullandhaug skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 9,Begge kjønn,54
Ullandhaug skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 9,Begge kjønn,58
Ullandhaug skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 9,Begge kjønn,53
Ullandhaug skole,Nasjonale prøver ungdomstrinn,Regning,2017-2018,Trinn 9,Begge kjønn,54
Ullandhaug skole,Nasjonale prøver ungdomstrinn,Regning,2018-2019,Trinn 9,Begge kjønn,52
Ullandhaug skole,Nasjonale prøver ungdomstrinn,Regning,2019-2020,Trinn 9,Begge kjønn,53
Ullandhaug skole,Nasjonale prøver ungdomstrinn,Regning,2020-2021,Trinn 9,Begge kjønn,54
